Id,Name,SBD,Gender,Date Of Birth
2, Nguyen Van A, BS00001, Nu,12/5/2000 12:00:00 AM
3, Nguyen Van B, BS00001, Nam,4/1/2000 2:29:00 PM
4, Nguyen Van C, BS00001, Nu,5/5/2000 2:29:00 PM
5, Nguyen Van D, BS00001, Nam,6/8/2000 2:29:00 PM
6, Nguyen Van E, BS00001, Nu,7/10/2000 2:29:00 PM
7, Nguyen Van F, BS00001, Nam,8/3/2000 2:29:00 PM
8, Nguyen Van G, BS00001, Nu,9/7/2000 2:29:00 PM
9, Nguyen Van H, BS00001, Nam,10/12/2000 2:29:00 PM
10, Nguyen Van I, BS00001, Nu,11/1/2000 2:29:00 PM
11, Nguyen Van J, BS00001, Nam,12/7/2000 2:29:00 PM
